,text,cluster
1176,лучше я бы в соло пошёл,одиночка
1177,Ты мне вообще сказал что нарисуешь что должно на локации быть,обсуждение кода
1178,2 недели назад,плохое ощущение
1179,или 3; 2024-03-03T10:36:12.344Z,обнудения и самооблажания
1180,это хуже казни австрийского художника,токсичные сообщения
1181,дарова,нейтральные неформальные сообщения
1182,2 и я,числительные и прочие
1183,тьитьмитьсмтбчтиморигвромгнпиш лть чморси ьдрвьтапшщгрке гт ьлдвск8,политика
1184,я Вику обганяю,личные мессиджи
1185,леанардо; 2024-03-03T08:08:40.381Z,леонардо выдаostaя личность
1186,я уже давно открыла,неформальные нейтральные сообщения
1187,там очень тупая ошибка,технические вопросы
1188,фокус мокус !,неформальные нейтральные сообщения
1189,я с вами,неформальные нейтральные сообщения
1190,и Пелагея белка!!,нейтральные неформальные сообщения
1191,я думала в 5,различные тематические вопросы
1192,я соглашаюсь с данилом,беседа обсуждение
1193,когда телефон падает включите режим полета тогда он будет лететь,технические вопросы фантастика
1194,у меня млд брат; 2024-03-03T08:45:09.589Z,инфо о себе
1195,я тоже год назад была на гимнастике,обучение и опыт
1196,я жив,неформальные нейтральные сообщения
1197,у меня инет плохой,технические вопросы
1198,не могу вкл; 2024-03-03T09:16:51.488Z,технические вопросы
1199,"2,22E+13",технические вопросы
1200,"2,22E+220",нет группы для данного текста
1201,всем пр,приветствия
1202,пр,неформальные нейтральные сообщения
1203,"а Вику с 8
и Алису (учитиля)",вопросы о профессии и комментарии к именам фиолам
1204,апхвпхвпах чо со звуком,неформальные нейтральные сообщения
1205,НО,неформальные нейтральные сообщения
1206,спс,положительный неформальные сообщения
1207,БорисссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссссССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССсссссссссссссссссссссссссссссссссссССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССССЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯ,неформальные нейтральные сообщения
1208,и тебя с 8 марта а поточнее с 10 марта?????????????,1
1209,У МИНЯ СВЕРЛЯТ СОСЕДИ ):,неформальные нейтральные сообщения
1210,пасиба,приветствия
1211,У меня самый лутчий подарок от папы!!!!!!!,позитивные эмоциональные сообщения
1212,Для меня,личность
1213,ТОКА,неформальные нейтральные сообщения
1214,ИГРА,игры
1215,6,запросы о группах и обучении
1216,23456,технические вопросы
1217,123456,нет определенной семантики
1218,Ещё3,числительные
1219,а у меня горло болит и голова,1
1220,222222,флуд
1221,2222,нет определенной семантики
1222,22,настройки аккаунта
1223,222,технические вопросы
1224,22222,неформальные нейтральные сообщения
1225,4444,хорошего дня любителе как всегда рады видеть вас во время наших онлайн уроков
1226,44,технические вопросы
1227,5,технические вопросы
1228,5; 2024-03-10T08:39:45.347Z,запросы о группах и обучении
1229,Вы чтото говорите?,неформальные нейтральные сообщения
1230,СЛЫШНО,неформальные нейтральные сообщения
1231,6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666++,неформальные нейтральные сообщения
1232,66,технические вопросы
1233,6666,флуд
1234,66666,флуд
1235,что это?,1
1236,ддддддддддддддддддддддддддддддддддддддддддддддддддддддддааааааааааааааааааааааааааааааааааааааааааааа; 2024-03-10T08:44:03.147Z,флуд
1237,ууууураааааааааааааааааааааааааааааа,неформальные нейтральные сообщения
1238,ДА ДА ДА ДА АДА АДА АДАЬ АДА АДДА,неформальные нейтральные сообщения
1239,ДАП АДА АДА АДКА ЬАДА МДЛ,нейтральные неформальные сообщения
1240,так она же плохо работает,технические вопросы
1241,рптврочрплоншвешшыенняеквегашнонрепкаунгшлгонрпаывпе,неформальные нейтральные сообщения
1242,иамваяеквнагполртпиа,нет определенной семантики
1243,мьрстимчваыеяк,нейтральные неформальные сообщения
1244,или починили,технические вопросы
1245,АВАВАВАВАВАВСАВАСВАВДАДАДАДАДААДААДАЛДАЛЛУРВПРУВАВРАКВ,неформальные нейтральные сообщения
1246,а ссылочка?,полезные ссылки
1247,Я не художэник но париколист,образец и самообразование
1248,Х Е ЗЕ ЗЕ,1
1249,7,технические вопросы
1250,8,технические вопросы
1251,9,технические вопросы
1252,999,флуд
1253,999999,флуд
1254,99,неформальные нейтральные сообщения
1255,а мы будем дз показывать?,запросы о группах и обучении
1256,3; 2024-03-10T09:22:33.715Z,обмен опытом
1257,ПРЕД ПОСЛЕДНИЙ 3; 2024-03-10T09:22:50.663Z,неформальные нейтральные сообщения
1258,а если я знал; 2024-03-10T09:23:14.668Z,неформальные нейтральные сообщения
1259,3. ну может быть 4,запросы о группах и обучении
1260,вода с лимоном ??; 2024-03-10T09:25:09.413Z,неформальные нейтральные сообщения
1261,"1,11E+149",нейтральные технические сообщения
1262,"1,11E+177",неформальные нейтральные сообщения
1263,22222222,неформальные нейтральные сообщения
1264,"2,22E+12",нет определенной семантики
1265,"2,22E+51",нет расзначимого семантического содержания в этом тексте
1266,33333,флуд
1267,"3,33E+17",technical questions
1268,"3,33E+43",нет семантики для числа
1269,"3,33E+55",нет контекста для классификации
1270,"3,33E+71",нет определенной семантики в тексте
1271,333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333 3333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,флуд
1272,"4,44E+18",неформальные нейтральные сообщения
1273,"4,44E+21",большие числа
1274,"4,44E+36",большие числа
1275,"4,44E+44",математика
1276,"4,44E+46",технические вопросы
1277,"4,44E+56",нет выделенной группы
1278,"4,44E+120",математика
1279,5555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555ЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕ55555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555,фишнинговые ссылки
1280,55555А ОЙ222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222,неформальные нейтральные сообщения
1281,666666,флуд
1282,"6,67E+16",технические вопросы
1283,666666666666666666666666666666666666666666666666666666666666666666666666666666666662222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222223333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333355555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555544444444444444444444444444444444444444444444444444444444444444444444444444444444444444,токсичные сообщения
1284,"6,67E+131",нет определенной семантики в данном тексте
1285,66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,токсичные сообщения
1286,66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666966666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666636666666636666666666666666666666666366666666,неформальные нейтральные сообщения
1287,"7,78E+14",нет определенной семантики
1288,77777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777++7777777777777777777777777777777777777777777777777777777777777+++++++++++++++7777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777,показательные числа
1289,888,неформальные нейтральные сообщения
1290,"8,89E+27",тексьт обработан автоматически содержит цифры не соответствует ни одной из описанных групп
1291,"8,89E+108",пользователь генерирует случайные цифры
1292,8888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888,маятnik s числа
1293,99999,неформальные нейтральные сообщения
1294,Айти код 110101010101010101010101010100101010110101010101001010101010101011,обсуждение кода
1295,z я забыл,запросы о группах и обучении
1296,"Ночевкин Кирилл
1

11:03
Савелий Сергеев
1

11:03
Борисов Николай
3

11:03
1

11:03
Акиньщикова Виктория
1.2.3.4.5.6.

11:03
Муравьев Николай
5

11:04",здесь обсуждаются человеческие названия именно личностей
1297,"лл
1

11:03
Савелий Сергеев
1

11:03
Борисов Николай
3

11:03
1

11:03
Акиньщикова Виктория
1.2.3.4.5.6.

11:03
Муравьев Николай
5

11:04
Алиса Ивайловская
Администратор
https://play.myquiz.ru/p/00511509

11:04
Волошин Лев
z я забыл

11:10",полезные ссылки
1298,понеднльник,дней недели
1299,понедельник,неформальные нейтральные сообщения
1300,школа- плаванье,обучение и опыт
1301,вторник,элементарные объяснения
1302,школа-плаванье,обучение и опыт
1303,среда,технические вопросы
1304,школа-плаванье-уезжаю,взятие отпуска отъезжиков
1305,2; 2024-03-17T08:27:29.256Z,дата и время
1306,у меня враг акула,мнемонические выражения
1307,у меня снеговик,зимние мотивы
1308,У МИНЯ ХЛЕБ ЛИТАЕТ,неформальные нейтральные сообщения
1309,к5,комментарии к уроку номера уроков
1310,"Савелий Сергеев
к5

11:44
Борисов Николай
5

11:44
Волошин Лев
У МИНЯ ХЛЕБ ЛИТАЕТ

11:47
Савелий Сергеев
6

11:48
Ночевкин Кирилл
6

11:49
Борисов Николай
6

11:49
Ночевкин Кирилл
7

11:54
Борисов Николай
7

11:54
Акиньщикова Виктория
7

11:54
Ночевкин Кирилл
8

11:57",быт и культура
1311,Я ВСЁ,неформальные нейтральные сообщения
1312,а если тут не будет жанра который я хочу,жанр обучения
1313,ПОН,технические вопросы
1314,не; 2024-03-17T09:26:05.237Z,1
1315,сразу скажу я не сделал проект я потом скажу почему,отказы от проектов
1316,кто в 4 классе пишите я,запросы о группах и обучении
1317,чо ни кто?,неформальные нейтральные сообщения
1318,хотя бы не одна я буду здавать контрошу,оценка
1319,вы когда меня увидете в туалет захотите,неформальные нейтральные сообщения
1320,кто знает и любит киш пиши яяя,неформальные нейтральные сообщения
1321,яяяяяяяяяяяяяяяяяя,неформальные нейтральные сообщения
1322,а ты пелагея?,неформальные нейтральные сообщения
1323,ты знаеш кто токой киш ?,различные тематические вопросы
1324,а ты?,безактívние нейтральные сообщения
1325,"а ты пелагея?

ДА",неформальные нейтральные сообщения
1326,"а ты?

я знаю киш это король и шут",неформальные нейтральные сообщения
1327,ну это понятно логично,неформальные нейтральные сообщения
1328,Есть киш гриб,неформальные сообщения
1329,апхвпха,неформальные нейтральные сообщения
1330,так Горшок зд@х и теперь только княз,неформальные нейтральные сообщения
1331,апхвпхапв,нет определенной группы
1332,а Сектор  Газа все забыли,политика
1333,я нет,1
1334,мама нет,неформальные нейтральные сообщения
1335,"Ночевкин Кирилл
а Сектор  Газа все забыли

11:14
Пелагея Муратова
я нет

11:14
мама нет

11:14",название группы
1336,Вика нееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееет,неформальные нейтральные сообщения
1337,апхвапхпавхпавххахпахвхахпххвхахпахвхахпхахвхапхха,нет достаточно информации для классификации текста в существующие группы
1338,пелагея блин,головки и рецепты
1339,дяяяя,неформальные нейтральные сообщения
1340,а у  тебя?,вопросы
1341,гони в белово с блинами на улицу фадеево 52,17
1342,апхвхахпхавхахпхахвахп,невозможно классифицировать текст из за отсутствия смыслового содержания
1343,это мой  адресссссссссссс,спам
1344,тебя щас могут кикнуть,токсичные сообщения
1345,и тебя,неформальные нейтральные сообщения
1346,аха,неформальные нейтральные сообщения
1347,нез,неизвестная группа
1348,а я 1 апреля экзамены пишу????????,запросы о группах и обучении
1349,у меня каникулы ???????,вопросы о обучении вопросы о vacation leaves и отпуске
1350,мне тоже ВПР писать,вопросы о профессии
1351,яяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяя,16
1352,"я

11:31
я

11:31
я

11:31
я

11:31
я

11:31
я

11:31
я

11:31
я

11:31
я

11:31
я

11:31
яя

11:31
я

11:31
я

11:31
я

11:31
я",спам и автономные сообщения
1353,нннннннннннннннннннннннннннннннннннннннннннннннннннеееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееетттттттттттттттттттттттттттттттттттттттттттттттт,неформальные нейтральные сообщения
1354,можно я потом,неформальные нейtrmalные сообщения
1355,зщжшдддддддддддддддддддд,нет возможности определить семантику текста без использования языка или коherent среди существующих групп
1356,а что у нас на перерыве будет,неформальные нейтральные сообщения
1357,я следующий,неформальные нейтральные сообщения
1358,рентгеноэлектрокардиографического,медицина
1359,гиппопотомомонстросесквиппедалиофобия,боязнь монстров
1360,"Волошин Лев
зщжшдддддддддддддддддддд

11:53
Акиньщикова Виктория
а что у нас на перерыве будет

11:58
Борисов Николай
f

11:59
Ночевкин Кирилл
я следующий

12:00
Волошин Лев
рентгеноэлектрокардиографического

12:03
гиппопотомомонстросесквиппедалиофобия

12:04",обучение и опыт
1361,У  МИНЯ ДР 31,числа
1362,с дррррррррррррррррррррррррррррррррррррррррррррррррррррррррррррррррррррр!!!!!!!!!!!!!!!!!!!!!,флуд
1363,кто знает инфу про крокус сити холл,запросы о группах и обучении
1364,"Акиньщикова Виктория
всем привет

10:51
Волошин Лев
сразу скажу я не сделал проект я потом скажу почему

10:54
Акиньщикова Виктория
кто в 4 классе пишите я
Пелагея Муратова
я нет

11:14
мама нет

11:14
Акиньщикова Виктория
Ночевкин Кирилл
а Сектор  Газа все забыли

11:14
Пелагея Муратова
я нет

11:14
мама нет

11:14

11:15
Пелагея Муратова
Вика неееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееее
10:58
я

10:59
чо ни кто?

10:59
Волошин Лев
я

10:59
Акиньщикова Виктория
ура

11:00",1
1365,я послеэтого курса на курс рб пойду,запросы о группах и обучении
1366,Я СЛУЧАЙНО,неформальные нейтральные сообщения
1367,РОБЛЕКС,технические вопросы
1368,Волошин Лев проше Волышка Лёва??,конспекты и персоналии
1369,еёуёуёуёууёуёуёуууёуёуёуёуёуёуё,неформальные нейтральные сообщения
1370,"Пелагея проше пела ,пива,пельмень,",гастрономия
1371,пенал,флуд
1372,можно пойти если ты торопишься,неформальные нейтральные сообщения
1373,я последний,завершения
1374,3; 2024-03-24T09:23:11.446Z,вопросы о мероприятии
1375,нет я буду 4,запросы о группах и обучении
1376,444,технические вопросы
1377,я второй,числа
1378,я пред последняя; 2024-03-24T09:23:47.995Z,романтика
1379,5; 2024-03-24T09:23:49.562Z,комплименты
1380,6; 2024-03-24T09:24:04.967Z,дата и время
1381,можно ити,неформальные нейтральные сообщения
1382,пп,неформальные нейтральные сообщения
1383,как сайт называется?,сайты и домены
1384,пп; 2024-03-24T09:31:42.151Z,положительный неформальные сообщения
1385,есть примерный план речи????,вопросы о занятии
1386,всё нашёл; 2024-03-24T09:34:07.844Z,техniчные вопроsy
1387,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444446666666666666666666666666666666666666666666666,флуд
1388,у меня одиииииииин вопрос,вопросы
1389,сик,неформальные нейтральные сообщения
1390,пропал вопросик,запросы
1391,в сем чики пуки,нет подходящей группы
1392,я успел,неформальные нейтральные сообщения
1393,я её вообще не готовил я импровизатор,импровизация
1394,я тож немного,неформальные нейтральные сообщения
1395,я сердце стучит,неформальные нейтральные сообщения
1396,02.май,даты
1397,уже всё,неформальные нейтральные сообщения
1398,испорченый телефон,технические вопросы
1399,пока пока??,неформальные нейтральные сообщения
1400,но это не точно,технические вопросы
1401,2024-03-31T08:04:22.767Z,дата и время
1402,"Как только игра будет запущена, Вам будет показан вопрос и несколько вариантов ответа.
Может быть один или несколько правильных ответов
Как минимум один вариант ответа должен быть неправильный
После выбора вариантов ответа(ов) необходимо нажать кнопку “Ответить”.
Первые 3 игрока, отметившие все правильные ответы, получат дополнительные баллы
В конце игры Вам будет показан Лидерборд.
При одинаковом количестве очков выиграл тот, кто ответил быстрее на последний вопрос; 2024-03-31T08:05:02.555Z",задачи с ответами
1403,чё это; 2024-03-31T08:11:10.844Z,технические вопросы
1404,ряльно???,1
1405,нуу я та старт не зделал,технические проблемы
1406,я бы хотел задать Кириллу вопрос; 2024-03-31T08:43:39.718Z,запросы к kirill
1407,ой я забыл; 2024-03-31T09:16:12.300Z,неформальные нейтральные сообщения
1408,спасибо; 2024-03-31T09:16:54.636Z,познательные сообщения
1409,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222222222222222222222222222222222222222211111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222233333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333311111111111111111111111111111111111111111111111,неформальные нейтральные сообщения
1410,Я почумуто не слышу,неформальные нейтральные сообщения
1411,вася,не формирует новой группы поскольку неизяснимо семантика этого имени
1412,фон на первый из геометри деш позож,фишинговая ссылка
1413,похож; 2024-03-06T15:53:23.847Z,неформальные нейтральные сообщения
1414,кто сьел мой микрофон?,токсичные сообщения
1415,мои слова которые я хотел сказать при 1-й игре матвея просрочился,запросы о группах и обучении
1416,просрочились,технические вопросы
1417,у меня микро заблокан,технические вопросы
1418,580,технические вопросы
1419,моба,технические вопросы моба
1420,мой IQ=125,интеллектуальные сообщения
1421,мой IQ 135,уровень интеллекта
1422,всё,неформальные нейтральные сообщения
1423,и точка,неформальные нейтральные сообщения
1424,вввввввввввввссссссссссссёёёёёёёёёёёёёёёёёё,1
1425,иииииииии ттттттттттттоооооооооооччччкккааааааааааа,неформальные нейтральные сообщения
1426,Данила Буковей написал эм криейтощ,неформальные сообщения
1427,р,нет достаточных данных для классификации текста в какую либо группу
1428,381; 2024-03-05T15:46:14.913Z,запросы о группах и обучении
1429,а приступать можно?; 2024-03-05T15:48:55.884Z,запросы о группах и обучении
1430,578; 2024-03-05T15:50:39.504Z,токсичные сообщения
1431,здатуйте,приветствия
1432,датуйти,технические вопросы
1433,1 2 4 6; 2024-03-12T15:02:43.319Z,запросы о группах и обучении
1434,12345,1
1435,я хочу быть пред последним,завершение
1436,дддддддддддддааааааааааааа,флуд
1437,нет нет и ещё рас нет,неформальные нейтральные сообщения
1438,не я,было сказано о мне
1439,нет нет нет нет нет,неформальные нейтральные сообщения
1440,скин,косметика и визуальные эффекты
1441,я не буду выступать; 2024-03-12T16:32:34.832Z,положительный неформальные сообщения
1442,до свидания; 2024-03-12T16:38:58.914Z,прощания
1443,"1,11E+160",нет определенной семантики
1444,здрасте,1
1445,давайте у нас кончится урок в 19:00,запросы о группах и обучении
1446,всё супер,неформальные позитивные сообщения
1447,Желаю всем счастья здоровья и радости,приветствия
1448,мне понравилось учится с ами,позитивные неформальные сообщения
1449,вы супер мне понравилось учится  вы все очень классные и отдельное спасибо Анне Богатыревой которая обучала нас в течении этих 32 занятий; 2024-03-19T15:15:34.866Z,комплименты
1450,в телеграме не удаляйте группу,запрет на удаление групп
1451,я всем хочу сказать что вы класс; 2024-03-19T15:16:21.997Z,комплименты
1452,пожалуста,приветствия
1453,Удачи в презентации проекта,пожелания к проектам
1454,2024-03-19T15:17:10.768Z,ошибки и баги
1455,а что это за номер?; 2024-03-19T15:40:00.501Z,вопросы о профессии
1456,чудо остров жить чудо остров жить  на нем легко и просто; 2024-03-19T15:58:24.057Z,романтика
1457,ГДЕ УЧИТЕЛЬ,запросы о группах и обучении
1458,Этотя,1
1459,я не знаю кто это; 2024-03-03T08:07:27.255Z,неформальные нейтральные сообщения
1460,Я тожееее,неформальные нейтральные сообщения
1461,Вроде нормально,неформальные нейтральные сообщения
1462,Пока нет,не определена группа
1463,"Помогите пожалуйста, у меня кошка сущность не загружается",технические вопросы
1464,Мне тожеее,неформальные нейтральные сообщения
1465,Не знаю что но не загружается(,технические вопросы
1466,До свидания; 2024-03-03T09:30:07.662Z,прощания
1467,вы меня слышете,позитивные неформальные сообщения
1468,что мне дулать,нейтральные неформальные сообщения
1469,делать; 2024-03-03T09:01:36.978Z,профессиональная тематика work making
1470,Лариса ты мне касарь когда вернёш; 2024-03-03T09:17:59.575Z,токсичные сообщения
1471,33,1
1472,"4,44E+16",математика и наука или величины и показатели
1473,Спасибо до свидания!; 2024-03-03T11:35:08.710Z,прощания
1474,досвидание; 2024-03-03T11:35:11.310Z,прощания
1475,у меня снова не работает микрафон,технические вопросы
1476,5 наверное,numbers and quantifiers
1477,в капкут,неформальные нейтральные сообщения
1478,я через гугл,интернет поиск
1479,можно демонстрацию включить?,технические вопросы
1480,конечно; 2024-03-03T10:36:28.465Z,неформальные нейтральные сообщения
1481,Не у меня еще долго,прощания
1482,а как накладывать текстуры?,технические вопросы
1483,можно я?,вопросы
1484,окей,неформальные нейтральные сообщения
1485,все тут?,неформальные нейтральные сообщения
1486,Привет всем,приветствия
1487,рррррр,неформальные нейтральные сообщения
1488,я показывала маме,семейные
1489,с,неформальные нейтральные сообщения
1490,д,1
1491,и б,неформальные нейтральные сообщения
1492,Я не увидел что 2,технические вопросы
1493,Так бы выиграл,игровой элемент
1494,мы не проходили изинги,ответы о процессе обучения
1495,Блендер,блюдо
1496,можно я после урока останусь?,запросы о меропьятиях и обучении
1497,это важный термин или че,технические вопросы
1498,Вик едитор,редакторы текста
1499,Пискел,неформальные нейтральные сообщения
1500,"викэдитор, блендер , магма",обсуждение кода
1501,Магма,геология
1502,Гоксел,технические вопросы
1503,воксел,неформальные нейтральные сообщения
1504,доктордуб,медицинская тематика
1505,Миро,неформальные нейтральные сообщения
1506,вы лагаете,технические вопросы
1507,вы зависли,технические вопросы
1508,у меня также; 2024-03-10T10:15:56.263Z,намёки и отсылки
1509,я не могу исать там,1
1510,всё получилось,неформальные нейтральные сообщения
1511,когда в блендере работали,обучение и опыт
1512,испорченный телефон,технические вопросы
1513,думаю переход как в тик токе,технические вопросы
1514,либо отрывок с девушкой под дождём,романтические комментарии
1515,Алисы,человеческие имена
1516,последняя её анимация крутая,отзывы о контенте
1517,тренируюсь в алайте,обучение и опыт
1518,что писать,размышления и блоггинг
1519,"чтоб у всех было вдохновение на работу, поднимался скилл",позитивные сравнительные обороты
1520,можно свой шоурил после урока показать? я не могу текст добавить,запросы о группах и обучении
1521,какие цифры,технические вопросы
1522,Нет 2,вчера мне казалось что кодинг немного легче сегодня же он кажется совершенно неудобным
1523,"я готова, но микрофон у меня не работает и шоурил на телефоне",технические вопросы
1524,Я первый не буду,флуд или полизиция неформальные нейтральные сообщения
1525,Здравствуйте у меня с демонстрацией проблемы вы можете запустить?,технические вопросы
1526,я не вижу,технические проблемы
1527,Экран что-то завис,технические вопросы
1528,зависло,технические вовппросы
1529,я тоже не вижу,неформальные нейтральные сообщения
1530,мы не видим; 2024-03-10T10:38:45.347Z,синхронный чат
1531,Видно; 2024-03-10T10:40:28.772Z,неформальные нейтральные сообщения
1532,вижно,неформальные нейтральные сообщения
1533,подлагивает сильно,токсичныесообщения
1534,а так видно,неформальные нейтральные сообщения
1535,спасибо большое,комплименты
1536,де,неформальные нейтральные сообщения
1537,ура сюрприз,неформальные нейтральные сообщения
1538,где демонстрация,технические вовенции
